bvid,bullet_content,bullet_entry,bullet_time,bullet_crawler_time
BV1E14y1v724,风机？,13.55200,2022-09-16 00:20:50,2022-09-16 20:41:45
BV1E14y1v724,啥牌子的。＼。＼。＼。＼,18.76800,2022-09-16 00:02:31,2022-09-16 20:41:45
BV1E14y1v724,科龙的,19.79800,2022-09-15 23:47:13,2022-09-16 20:41:45
BV1E14y1v724,这样真的好吗,12.51500,2022-09-15 23:42:09,2022-09-16 20:41:45
BV1E14y1v724,省流；给旗杆内的鼓风设备降温用的,4.13900,2022-09-15 23:40:20,2022-09-16 20:41:45
BV1E14y1v724,现在最常见的就是电梯的机房里面安空调，没有其他用途，夏天降温,45.01700,2022-09-15 23:30:58,2022-09-16 20:41:45
BV1E14y1v724,啊这……,45.53900,2022-09-15 23:27:53,2022-09-16 20:41:45
BV1E14y1v724,这不超个频,75.30800,2022-09-15 23:27:18,2022-09-16 20:41:45
BV1E14y1v724,冷排吧,67.24800,2022-09-15 23:27:03,2022-09-16 20:41:45
BV1E14y1v724,不能国旗台底部做个隐形的排风吗,25.81400,2022-09-15 23:20:53,2022-09-16 20:41:45
BV1E14y1v724,一天要多少电啊,59.01800,2022-09-15 23:19:16,2022-09-16 20:41:45
BV1E14y1v724,升旗时基座下方有人值守,8.41700,2022-09-15 23:16:57,2022-09-16 20:41:45
BV1E14y1v724,上升气流,49.74600,2022-09-15 23:14:34,2022-09-16 20:41:45
BV1E14y1v724,这不是铺张浪费，这表现了国家的排面,55.40000,2022-09-15 23:08:34,2022-09-16 20:41:45
BV1E14y1v724,给电机降温,27.63800,2022-09-15 23:03:27,2022-09-16 20:41:45
BV1E14y1v724,是除湿的,80.13900,2022-09-15 23:01:22,2022-09-16 20:41:45
BV1E14y1v724,玩手机玩的,6.93000,2022-09-15 22:59:47,2022-09-16 20:41:45
BV1E14y1v724,46s,67.05000,2022-09-15 22:59:01,2022-09-16 20:41:45
BV1E14y1v724,电旗杆用的,15.93900,2022-09-15 22:56:24,2022-09-16 20:41:45
BV1E14y1v724,底下有观察员,10.89900,2022-09-15 22:55:28,2022-09-16 20:41:45
BV1E14y1v724,科龙,19.59700,2022-09-15 22:51:38,2022-09-16 20:41:45
BV1E14y1v724,原来是这样,50.14600,2022-09-15 22:49:37,2022-09-16 20:41:45
BV1E14y1v724,匀速有个屁节奏,36.63900,2022-09-15 22:47:52,2022-09-16 20:41:45
BV1E14y1v724,盲猜格力 国产老大,38.34100,2022-09-15 22:43:05,2022-09-16 20:41:45
BV1E14y1v724,敬礼,30.93200,2022-09-15 22:40:33,2022-09-16 20:41:45
BV1E14y1v724,这里你放个3D打印机干嘛,26.03600,2022-09-15 22:36:25,2022-09-16 20:41:45
BV1E14y1v724,去过很多次，没都有发现,41.68100,2022-09-15 22:33:47,2022-09-16 20:41:45
BV1E14y1v724,吹旗吧,21.59700,2022-09-15 22:30:52,2022-09-16 20:41:45
BV1E14y1v724,基座下还有2人随时待命状态,76.59800,2022-09-15 22:28:23,2022-09-16 20:41:45
